Reference area,AR:Argentina,AT:Austria,AU:Australia,BE:Belgium,BR:Brazil,CA:Canada,CH:Switzerland,CL:Chile,CN:China,CO:Colombia,DE:Germany,DK:Denmark,ES:Spain,FI:Finland,FR:France,GB:United Kingdom,HK:Hong Kong SAR,HU:Hungary,IE:Ireland,IN:India,IT:Italy,JP:Japan,KR:South Korea,LK:Sri Lanka,MX:Mexico,MY:Malaysia,NL:Netherlands,NO:Norway,NZ:New Zealand,PT:Portugal,RU:Russia,SE:Sweden,TR:Turkey,US:United States,UY:Uruguay,VE:Venezuela,XM:Euro area,XW:World,ZA:South Africa
Currency,ARS:Argentine Peso,EUR:Euro,AUD:Australian Dollar,EUR:Euro,BRL:Brazilian Real,CAD:Canadian Dollar,CHF:Swiss Franc,CLP:Chilean Peso,CNY:Yuan Renminbi,COP:Colombian Peso,EUR:Euro,DKK:Danish Krone,EUR:Euro,EUR:Euro,EUR:Euro,GBP:Pound Sterling,HKD:Hong Kong Dollar,HUF:Hungarian Forint,EUR:Euro,INR:Indian Rupee,EUR:Euro,JPY:Japanese Yen,KRW:Korean Won,LKR:Sri Lanka Rupee,MXN:Mexican Peso,MYR:Malaysian Ringgit,EUR:Euro,NOK:Norwegian Krone,NZD:New Zealand Dollar,EUR:Euro,RUB:Russian Rouble,SEK:Swedish Krona,TRY:Turkish Lira,USD:US Dollar,UYU:Uruguayan Peso,VEF:Bolivar Fuerte,EUR:Euro,XDR:SDR,ZAR:South African Rand
Collection,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period
Time Period,D:AR:ARS:A,D:AT:EUR:A,D:AU:AUD:A,D:BE:EUR:A,D:BR:BRL:A,D:CA:CAD:A,D:CH:CHF:A,D:CL:CLP:A,D:CN:CNY:A,D:CO:COP:A,D:DE:EUR:A,D:DK:DKK:A,D:ES:EUR:A,D:FI:EUR:A,D:FR:EUR:A,D:GB:GBP:A,D:HK:HKD:A,D:HU:HUF:A,D:IE:EUR:A,D:IN:INR:A,D:IT:EUR:A,D:JP:JPY:A,D:KR:KRW:A,D:LK:LKR:A,D:MX:MXN:A,D:MY:MYR:A,D:NL:EUR:A,D:NO:NOK:A,D:NZ:NZD:A,D:PT:EUR:A,D:RU:RUB:A,D:SE:SEK:A,D:TR:TRY:A,D:US:USD:A,D:UY:UYU:A,D:VE:VEF:A,D:XM:EUR:A,D:XW:XDR:A,D:ZA:ZAR:A
1976/08/30,,1.296252,0.803536,0.961706,,0.983649,2.473862,,,35.22,1.290112,6.059795,0.408414,0.653794,0.750522,NaN,,41.7,0.717025,9.01,0.43518,288.654172,484,8.673,0.0125,2.5138,1.196399,5.502858,1.005227,0.154191,,4.392317,NaN,1,,,0.905855,0.8687,0.8715
1976/08/31,,1.301918,0.804052,0.96369,,0.981452,2.479911,,,35.23,1.293368,6.066467,0.408219,0.654488,0.750737,0.563898,,41.7,0.715899,9.01,0.434421,289.034539,484,8.673,0.0125,2.5138,1.200101,5.506391,1.00311,0.155127,,4.407615,0.000016,1,,,0.906536,0.869,0.8715
1976/09/01,,1.297508,0.804052,0.961085,,0.977997,2.472743,,,35.23,1.289672,6.052007,0.408007,0.655179,0.751485,0.563109,,41.7,0.714483,9.01,0.434252,288.57492,484,8.673,0.0205,2.5132,1.195801,5.501254,1.002406,0.154831,,4.391963,0.000016,1,,,0.9051,0.8687,0.8715
1976/09/02,,1.289715,0.803342,0.962572,,0.977967,2.473493,,,35.23,1.290875,6.057497,0.407301,0.653075,0.752235,0.563899,,41.7,0.715796,9.01,0.434571,288.430957,484,8.673,0.0205,2.5094,1.196067,5.496894,1.003714,0.154084,,4.393782,0.000016,1,,,0.9056,0.8686,0.8715
1976/09/03,,1.29882,0.801925,0.962945,,0.980438,2.484021,,,35.23,1.29018,6.050116,0.407797,0.654637,0.752228,0.564035,,41.7,0.716072,9.01,0.434462,287.315725,484,8.673,0.0205,2.5119,1.195473,5.506818,1,0.155007,,4.401703,0.000016,1,,,0.906084,0.8689,0.8715
1976/09/06,,1.29858,NaN,0.962878,,0.97791,2.480681,,,35.23,1.290293,6.057477,0.408019,0.65433,0.751511,0.564242,,41.7,0.71644,NaN,0.434421,287.679558,484,NaN,0.0205,NaN,1.195566,5.501766,NaN,0.154996,,4.394937,0.000016,1,,,0.905715,0.8684,NaN
1976/09/07,,1.297005,0.804829,0.961822,,0.976834,2.478038,,,35.23,1.288283,6.052777,0.40782,0.653546,0.750405,0.564444,,41.7,0.716591,9.01,0.434133,287.512674,484,8.673,0.0205,2.51,1.193728,5.485624,1.003814,0.154703,,4.393594,0.000016,1,,,0.905272,0.8683,0.8715
1976/09/08,,1.298244,0.803277,0.962078,,0.976971,2.479878,,,35.23,1.289616,6.067956,0.407892,0.65372,0.751551,0.565086,,41.7,0.717615,9.01,0.433996,287.375933,,8.673,0.0205,2.51,1.195102,5.48436,1.003814,0.154991,,4.396753,0.000016,1,,,0.9056,0.8683,0.8715
1976/09/09,,1.290187,0.802633,0.959844,,0.973664,2.47551,,,35.24,1.280881,6.032572,0.407712,0.653839,0.750323,0.571935,,41.7,0.72653,9.01,0.434062,285.650805,484,8.673,0.02043,2.5094,1.189864,5.458903,1.003311,0.154755,,4.373903,0.000016,1,,,0.905027,0.868,0.8715
1976/09/10,,1.293758,0.802568,0.960959,,0.976202,2.479218,,,35.24,1.283559,6.043457,0.407543,0.65427,0.752303,0.573361,,41.7,0.728665,9.13,0.434244,286.564339,484,8.696,0.02043,2.5138,1.190718,5.465245,1.001502,0.155184,,4.380467,0.000016,1,,,0.905551,0.868,0.8715
1976/09/13,,1.293876,0.803729,0.95994,,0.977137,2.480317,,,35.24,1.283783,6.035118,0.408092,0.654561,0.751358,0.571908,,41.7,0.726817,9.13,0.434295,286.578561,484,8.696,0.0198,2.5119,1.190159,5.464456,1.007151,0.154895,,4.379291,0.000016,1,,,0.905814,0.868,0.8715
1976/09/14,,1.291857,0.803859,0.956129,,0.974242,2.478004,,,35.25,1.282236,6.028519,0.40776,0.653441,0.751667,0.576018,,41.7,0.73041,9.13,0.434677,286.447629,484,8.696,0.0198,2.5119,1.187187,5.45547,1.007963,0.154901,,4.371298,0.000016,1,,,0.905362,0.8677,0.8715
1976/09/15,,1.28292,0.804246,0.952906,,0.973909,2.469734,,,35.25,1.273393,5.994742,0.407101,0.65173,0.748417,0.578657,,41.7,0.733968,9.13,0.434327,285.693801,484,8.696,0.0198,2.5113,1.180568,5.430936,1.009693,0.154441,,4.34892,0.000016,1,,,0.90186,0.8659,0.8715
1976/09/17,,1.277065,0.802311,0.949215,,0.974328,2.472231,,,35.25,1.266696,5.967687,0.407968,0.651043,0.745224,0.576241,,41.7,0.732778,9.13,0.434247,286.450347,484,8.696,0.0198,2.5126,1.18329,5.407218,1.006036,0.153905,,4.326693,0.000016,1,,,0.899831,0.865,0.8715
1976/09/20,,1.271603,0.803923,0.945587,,0.973079,2.468447,,,35.25,1.262244,5.946789,0.407203,0.650001,0.747101,0.582009,,41.7,0.738661,9.13,0.435031,286.74944,484,8.696,0.0198,2.5119,1.180845,5.386172,1.010509,0.154374,,4.310155,0.000016,1,,,0.900357,0.8651,0.8715
1976/09/21,,1.277508,0.804635,0.944969,,0.972203,2.477731,,,35.25,1.268436,5.981012,0.407443,0.649575,0.751218,0.58154,,41.7,0.738628,9.13,0.436055,287.589008,484,8.696,0.0198,2.5145,1.181458,5.401336,1.012453,0.154838,,4.330211,0.000016,1,,,0.902486,0.866,0.8715
1976/09/22,,1.272825,0.805802,0.941066,,0.973394,2.46886,,,35.25,1.263002,5.944928,0.407064,0.649855,0.744832,0.582873,,41.7,0.741005,9.13,0.436506,286.996539,484,8.696,0.0198,2.5183,1.171581,5.365152,1.01657,0.154956,,4.307797,0.000016,1,,,0.898836,0.8649,0.8715
1976/09/23,,1.267857,0.804699,0.944101,,0.972547,2.468242,,,35.26,1.262793,5.948868,0.406563,0.648979,0.748916,0.585382,,41.7,0.74454,9.13,0.438625,286.352746,484,8.696,0.0198,2.5221,1.173287,5.347126,1.015228,0.154759,,4.308252,0.000016,1,,,0.90069,0.8649,0.8715
1976/09/24,,1.271478,0.805283,0.946578,,0.972116,2.468358,,,35.26,1.263763,5.951106,0.407557,0.650023,0.747739,0.584849,,41.7,0.74147,9.03,0.438642,287.406519,484,8.658,0.0198,2.5265,1.17394,5.390669,1.012146,0.155545,,4.317597,0.000016,1,,,0.902112,0.8663,0.8707
1976/09/27,,1.271232,0.806517,0.944228,,0.972553,2.467772,,,35.27,1.262961,5.938234,0.40758,0.651708,0.748495,0.593951,,41.7,0.754515,9.03,0.43893,287.797611,484,8.658,0.0198,2.5265,1.169987,5.379949,1.019056,0.155413,,4.317127,NaN,1,,,0.902877,0.866,0.8707
1976/09/28,,1.269362,0.8088,0.943485,,0.970552,2.466632,,,35.28,1.261776,5.939283,0.407311,0.651858,0.749286,0.601836,,41.7,0.763451,9.17,0.440686,287.246558,484,8.658,0.0198,2.5265,1.169244,5.366633,1.027432,0.155227,,4.309097,0.000016,1,,,0.906364,0.8667,0.8707
1976/09/29,,1.268022,0.811491,0.942493,,0.972006,2.466596,,,35.29,1.259283,5.931131,0.407318,0.651836,0.750598,0.600159,,41.7,0.764459,8.85,0.441017,287.594797,484,8.658,0.0198,2.5233,1.167492,5.364382,1.038961,0.156085,,4.299943,0.000016,1,,,0.903906,0.8664,0.8707
1976/09/30,,1.254924,0.809848,0.932325,,0.973344,2.443784,,,35.29,1.244157,5.859618,0.407279,0.649439,0.752247,0.595753,,41.7,0.756211,8.85,0.444322,286.606212,484,8.734,0.0198,2.5208,1.166506,5.31026,1.029972,0.155039,,4.252112,0.000016,1,,,0.898731,0.8642,0.8707
1976/10/01,,1.258749,0.808931,0.937104,,0.971169,2.44796,,,35.29,1.250919,5.919893,0.408153,0.64679,0.756247,0.598238,,41.7,0.760087,8.85,0.452602,286.818227,,8.734,0.0198,2.5183,1.163907,5.342757,1.037129,0.154557,,4.273903,0.000016,1,,,0.904658,0.8656,0.8707
1976/10/04,,1.264113,0.808931,0.935058,,0.970539,2.454301,,,35.29,1.252433,5.897541,0.40772,0.648347,0.755214,0.597689,,41.7,0.75963,8.85,0.435642,286.654057,484,8.734,0.0198,2.5164,1.162904,5.345069,1.037129,0.155429,,4.265775,0.000016,1,,,0.900657,0.8649,0.8707
1976/10/05,,1.260958,0.806127,0.928855,,0.97394,2.457045,,,35.3,1.253321,5.897766,0.407415,0.64902,0.753875,0.598369,,41.7,0.759772,8.85,0.435654,286.795811,484,8.734,0.0198,2.5208,1.158593,5.318657,1.024066,0.154462,,4.252389,0.000016,1,,,0.898917,0.8643,0.8707
1976/10/06,,1.257104,0.805737,0.921082,,0.973698,2.443371,,,35.32,1.247392,5.870703,0.40695,0.64692,0.752097,0.60972,,41.7,0.772157,8.85,0.434598,286.866272,484,8.734,0.0198,2.5208,1.152437,5.255495,1.029336,0.154189,,4.22904,0.000016,1,,,0.898586,0.8637,0.8707
1976/10/07,,1.256083,0.805218,0.927618,,0.972835,2.445276,,,35.33,1.248399,5.841269,0.407795,0.648825,0.754868,0.604134,,41.7,0.767587,8.85,0.434205,287.625496,484,8.734,0.0198,2.5208,1.154671,5.307809,1.027749,0.154576,,4.251073,0.000016,1,,,0.898005,0.8638,0.8707
1976/10/08,,1.259655,0.805153,0.931333,,0.97344,2.449139,,,35.33,1.24802,5.849621,0.409057,0.647251,0.756458,0.599678,,41.7,0.762043,8.85,0.433784,288.333363,484,8.734,0.0198,2.5208,1.158784,5.327164,1.025115,0.155259,,4.259622,0.000016,1,,,0.899717,0.8642,0.8707
1976/10/11,,1.258021,NaN,0.928296,,0.972467,2.451946,,,35.35,1.249889,5.843665,0.408463,0.647297,0.758074,0.603504,,41.7,0.762604,NaN,0.433856,289.00127,484,NaN,0.0198,NaN,1.158574,5.325098,NaN,0.15501,,4.259018,0.000016,1,,,0.900649,0.865,NaN
1976/10/13,,1.254386,0.809192,0.927435,,0.973779,2.442394,,,35.37,1.242606,5.841979,0.408677,0.647229,0.765983,0.605285,,41.7,0.768677,8.85,0.435102,290.020295,484,8.734,0.0198,2.5233,1.159027,5.304875,1.030397,0.155836,,4.24059,0.000016,1,,,0.901998,0.8653,0.8707
1976/10/14,,1.255119,0.807559,0.924769,,0.973135,2.442228,,,35.39,1.243229,5.851299,0.408878,0.647164,0.764491,0.610258,,41.7,0.775248,8.85,0.434845,292.130861,484,8.734,0.01983,2.5233,1.159419,5.299016,1.027961,0.155388,,4.238247,0.000016,1,,,0.901494,0.8659,0.8707
1976/10/15,,1.261633,0.810636,0.928489,,0.974255,2.455428,,,35.39,1.250718,5.887948,0.409161,0.649936,0.762285,0.606168,,41.7,0.770797,8.93,0.435966,292.618129,484,8.772,0.01983,2.5323,1.162045,5.335487,1.035197,0.156045,,4.27131,0.000016,1,,,0.903644,0.8667,0.8707
1976/10/18,,1.262774,0.807168,0.930837,,0.973491,2.45585,,,35.43,1.248891,6.060556,0.409582,0.651748,0.767433,0.606035,,41.7,0.77025,8.93,0.453017,291.944639,484,8.772,0.01983,2.531,1.165323,5.370601,1.034554,0.156735,,4.283091,0.000016,1,,,0.908158,0.8694,0.8707
1976/10/19,,1.25872,0.812744,0.929352,,0.973136,2.452572,,,34.45,1.249009,6.005886,0.409522,0.65138,0.76185,0.606241,,41.7,0.769642,8.93,0.449584,292.148629,484,8.772,0.01983,2.5304,1.161422,5.361451,1.036914,0.156485,,4.302265,0.000016,1,,,0.906939,0.8687,0.8707
1976/10/20,,1.251113,0.81182,0.923524,,0.973089,2.438625,,,35.47,1.23889,5.938417,0.40883,0.649308,0.757214,0.606361,,41.7,0.770421,8.93,0.448881,292.229041,484,8.772,0.01983,2.5291,1.156675,5.322877,1.037775,0.156156,,4.26549,0.000016,1,,,0.902446,0.8666,0.8707
1976/10/21,,1.250871,0.811688,0.921421,,0.9747,2.44138,,,35.48,1.237966,5.943487,0.409001,0.6485,0.758323,0.606165,,41.7,0.769294,8.93,0.448626,292.677071,484,8.772,0.01983,2.5297,1.155899,5.336685,1.037022,0.155932,,4.268736,0.000016,1,,,0.902617,0.8664,0.8707
1976/10/22,,1.251486,0.812348,0.923157,,0.97341,2.449196,,,35.48,1.241444,5.950967,0.409735,0.649724,0.777314,0.606418,,41.7,0.770117,8.93,0.448367,293.171305,484,8.696,0.0198,2.5316,1.158247,5.329906,1.033058,0.156095,,4.271874,0.000016,1,,,0.903506,0.867,0.8707
1976/10/25,,1.242923,0.812612,0.915781,,0.971658,2.436358,,,35.52,1.228881,5.901572,0.408781,0.649246,0.75861,0.628595,,41.7,0.798423,8.93,0.446168,293.078097,484,8.696,0.01983,2.5297,1.151674,5.274492,1.047669,0.156491,,4.221042,0.000016,1,,,0.903171,0.8663,0.8707
1976/10/26,,1.243196,0.814266,0.916831,,0.968822,2.437789,,,35.54,1.232936,5.910183,0.409155,0.648635,0.763286,0.626014,,41.7,0.794873,8.93,0.446202,293.589048,484,8.696,0.01983,2.5316,1.152993,5.285816,1.045478,0.156008,,4.235071,0.000016,1,,,0.904225,0.867,0.8707
1976/10/27,,1.245051,0.817394,0.915227,,0.972159,2.438744,,,35.56,1.229647,5.899831,0.409777,0.648853,0.764482,0.625977,,41.7,0.794827,8.93,0.446203,293.833244,484,8.696,0.02592,2.5349,1.148629,5.290552,1.041992,0.156862,,4.221859,0.000017,1,,,0.904216,0.8668,0.8707
1976/10/28,,1.234684,0.817327,0.911816,,0.97065,2.428051,,,35.58,1.22469,5.866826,0.410316,0.647113,0.762055,0.63748,,41.7,0.809432,8.93,0.446516,293.381031,484,8.696,0.02592,2.5368,1.137507,5.256908,1.05753,0.155484,,4.200367,0.000017,1,,,0.903367,0.8666,0.8707
1976/10/29,,1.242263,0.814332,0.915718,,0.970315,2.436681,,,35.58,1.231065,5.891928,0.409847,0.647173,0.762219,0.623145,,41.7,0.791231,8.97,0.446541,294.108099,484,8.696,0.02553,2.5336,1.143715,5.280916,1.052632,0.156149,,4.219788,NaN,1,,,0.90173,0.866,0.8707
1976/11/01,,1.24151,0.817862,NaN,,NaN,2.432707,,,35.6,1.229042,5.886677,NaN,NaN,NaN,0.630138,,41.7,0.80011,8.97,NaN,NaN,484,8.696,0.02541,2.5329,1.140345,5.272744,1.057306,NaN,,4.207953,0.000017,1,,,0.901754,0.8665,0.8707
1976/11/03,,1.237949,0.817261,0.914228,,0.971674,2.431181,,,35.64,1.226983,5.876804,0.409482,0.646793,0.759502,0.627315,,41.7,0.796526,8.97,0.446672,294.214802,484,8.696,0.02546,2.5381,1.138838,5.270057,1.054964,0.155631,,4.207625,0.000017,1,,,0.901543,0.8662,0.8707
1976/11/04,,1.249714,0.814598,0.921849,,0.974897,2.440913,,,35.66,1.239115,5.933244,0.410394,0.650828,0.761795,0.621343,,41.7,0.788943,8.97,NaN,295.372261,484,8.696,0.02481,2.5323,1.149179,5.310961,1.048328,0.156202,,4.257285,0.000017,1,,,0.903326,0.8672,0.8707
1976/11/05,,1.248983,0.813008,0.92216,,0.973944,2.444465,,,35.66,1.238392,5.925941,0.410834,0.64919,0.761102,0.611136,,41.7,0.775855,9.05,0.447111,295.178013,484,8.734,0.02471,2.531,1.148553,5.300636,1.039501,0.156584,,4.252389,0.000017,1,,,0.903163,0.8672,0.8707
1976/11/08,,1.243574,0.81473,0.91944,,0.973489,2.443351,,,35.71,1.234626,5.907473,0.410526,0.647777,0.760504,0.614991,,41.7,0.780877,9.05,0.446511,293.66642,484,8.734,0.02471,2.531,1.145572,5.294048,1.047998,0.156254,,4.230406,0.000017,1,,,0.902348,0.8666,0.8707
1976/11/09,,1.248194,0.813802,0.92179,,0.97343,2.443405,,,35.74,1.237139,5.925888,0.410574,0.64809,0.760914,0.61293,,41.7,0.778261,9.05,0.446875,293.952585,,8.734,0.02467,2.5291,1.147567,5.296247,1.048328,0.156192,,4.240018,0.000017,1,,,0.903138,0.8666,0.8707
1976/11/10,,1.250021,0.815262,0.92229,,0.973446,2.442082,,,35.74,1.236682,5.922016,0.410495,0.648945,0.759541,0.61072,,41.7,0.775454,9.05,0.446857,294.343589,484,8.734,0.02443,2.5278,1.147913,5.299865,1.043515,0.156606,,4.240621,0.000017,1,,,0.902283,0.8666,0.8707
1976/11/11,,NaN,NaN,NaN,,NaN,NaN,,,35.77,NaN,NaN,NaN,NaN,NaN,NaN,,41.7,NaN,NaN,NaN,NaN,484,NaN,0.02441,NaN,NaN,NaN,NaN,NaN,,NaN,0.000017,1,,,NaN,0.8665,NaN
1976/11/12,,1.246878,0.814266,0.918695,,0.978357,2.442175,,,35.77,1.234429,5.905984,0.410724,0.646582,0.759582,0.615207,,41.7,0.781152,9.01,0.446674,294.361394,484,8.734,0.02441,2.5316,1.146751,5.286739,1.045478,0.156392,,4.229875,0.000017,1,,,0.902177,0.8668,0.8699
1976/11/15,,1.248024,0.813273,0.920178,,0.978645,2.442104,,,35.81,1.237151,5.920244,0.410857,0.648467,0.759838,0.608822,,41.7,0.773045,9.01,0.446455,294.602662,484,8.734,0.02431,2.5297,1.148409,5.293395,1.042644,0.156644,,4.235021,0.000017,1,,,0.901811,0.8667,0.8699
1976/11/16,,1.24954,0.812876,0.919805,,0.982716,2.444483,,,35.83,1.237331,5.940572,0.41105,0.647867,0.760193,0.608575,,41.7,0.772731,9.01,0.446692,294.951153,484,8.734,0.0242,2.531,1.149078,5.289355,1.040583,0.156514,,4.230883,0.000017,1,,,0.902063,0.8669,0.8699
1976/11/17,,1.249286,0.812414,0.919188,,0.978686,2.443453,,,35.85,1.237595,5.929011,0.410888,0.645591,0.760041,0.605487,,41.7,0.768809,9.01,0.44665,295.105488,484,8.734,0.0242,2.5304,1.147956,5.288831,1.039609,0.15641,,4.223232,0.000017,1,,,0.901218,0.8665,0.8699
1976/11/18,,1.24992,0.810833,0.919872,,0.979733,2.444504,,,35.87,1.237783,5.918258,0.410795,0.646203,0.762296,0.601906,,41.7,0.764263,9.01,0.446722,294.97256,484,8.696,0.0242,2.531,1.148769,5.283714,1.033912,0.15719,,4.221562,0.000017,1,,,0.901136,0.8664,0.8699
1976/11/19,,1.248905,0.808734,0.918694,,0.984657,2.445399,,,35.87,1.236526,5.917302,0.41114,0.646583,0.763844,0.594435,,41.7,0.754776,9.01,0.446988,295.358312,484,8.696,0.0242,2.5291,1.146555,5.284482,1.028278,0.156325,,4.217119,0.000017,1,,,0.899378,0.8658,0.8707
1976/11/22,,1.241615,0.810833,0.912064,,0.988185,2.433378,,,35.91,1.228968,5.879762,0.410675,0.643251,0.760697,0.599619,,41.7,0.761359,8.73,0.446785,294.930706,484,8.696,0.0242,2.5272,1.136851,5.244474,1.02976,0.156188,,4.188115,0.000017,1,,,0.896427,0.8646,0.8707
1976/11/23,,1.235602,0.812942,0.90828,,0.991746,2.427855,,,35.94,1.224865,5.85958,0.410247,0.64292,0.759858,0.60793,,41.7,0.771912,8.73,0.446611,294.91249,484,8.696,0.0265,2.5284,1.131821,5.223082,1.039393,0.156875,,4.180021,0.000017,1,,,0.896162,0.8647,0.8707
1976/11/24,,1.239585,0.812084,0.908036,,0.991812,2.435835,,,35.96,1.228392,5.875858,0.410328,0.643252,0.760327,0.604881,,41.7,0.76804,8.93,0.446808,294.928297,484,8.696,0.024,2.531,1.135714,5.210536,1.039501,0.156163,,4.179128,0.000017,1,,,0.896853,0.8647,0.8707
1976/11/25,,1.237462,NaN,0.909648,,0.99499,2.442021,,,35.98,1.227873,5.88345,0.409548,0.642213,0.762038,0.607282,,41.7,0.77109,NaN,0.446651,294.976521,484,NaN,0.0235,NaN,1.136233,5.22387,NaN,0.156439,,4.179391,0.000017,1,,,0.897851,0.8655,NaN
1976/11/26,,1.241326,0.812744,0.912065,,1.000476,2.444283,,,35.98,1.229888,5.893416,0.410352,0.64325,0.762196,0.604893,,41.7,0.768055,8.93,0.446575,295.108237,484,8.696,0.0235,2.531,1.137895,5.232166,1.032205,0.156521,,4.188116,0.000017,1,,,0.89823,0.8659,0.8707
1976/11/29,,1.240395,0.985222,0.91138,,1.012396,2.441075,,,36.04,1.228482,5.882402,0.410291,0.642768,0.761571,0.606683,,41.7,0.770328,8.93,0.447238,295.656978,484,8.696,0.0225,2.531,1.138824,5.227867,1.104972,0.15741,,4.184976,0.000017,1,,,0.898247,0.8684,0.8707
1976/11/30,,1.241551,0.990197,0.913922,,1.032272,2.443342,,,36.06,1.229783,5.885624,0.410521,0.643223,0.761575,0.606474,,41.7,0.770063,8.93,0.446962,296.673047,484,8.696,0.022,2.5323,1.13893,5.241334,1.109508,0.157849,,4.189498,0.000017,1,,,0.898691,0.8697,0.8707
1976/12/02,,1.244328,0.990589,0.912994,,1.031948,2.455749,,,36.06,1.234408,5.906986,0.410179,0.644241,0.762092,0.600621,,41.3,0.762631,8.93,0.446508,296.837536,484,8.696,0.02125,2.5329,1.140804,5.250193,1.106807,0.15715,,4.195248,NaN,1,,,0.898683,0.8703,0.8707
1976/12/03,,1.241142,0.994431,0.911503,,1.02509,2.453784,,,36.08,1.23078,5.884139,0.410575,0.643189,0.761778,0.601504,,41.3,0.763753,8.81,0.446824,297.61223,484,8.929,0.02125,2.5355,1.139019,5.241623,1.109016,0.156759,,4.186488,NaN,1,,,0.897658,0.8694,0.8707
1976/12/06,,1.235602,0.994629,0.908277,,1.026611,2.445187,,,36.1,1.225342,5.867069,0.410075,0.640914,0.761826,0.603324,,41.3,0.766064,8.81,0.446666,296.259195,484,8.929,0.0205,2.5336,1.133944,5.231276,1.109632,0.156875,,4.178815,0.000017,1,,,0.896001,0.8687,0.8707
1976/12/07,,1.235303,0.967305,0.906795,,1.027526,2.447237,,,36.1,1.224021,5.860777,0.410131,0.641535,0.76235,0.60363,,41.3,0.766452,8.81,0.446937,296.194946,484,8.929,0.02013,2.5297,1.133213,5.225715,1.109385,0.156753,,4.167716,0.000017,1,,,0.895728,0.8681,0.8707
1976/12/08,,1.234883,0.965904,0.907541,,1.022912,2.453102,,,36.13,1.226232,5.871702,0.410123,0.642565,0.762298,0.598791,,41.3,0.760308,8.81,0.445408,296.282175,484,8.929,0.02,2.5297,1.133679,5.234499,1.100231,0.157084,,4.178042,0.000017,1,,,0.894999,0.8677,0.8707
1976/12/09,,1.237801,0.965158,0.907784,,1.023973,2.453186,,,36.15,1.226842,5.864816,0.410214,0.642234,0.760634,0.597462,,41.3,0.758621,8.81,0.446631,295.918605,,8.929,0.02025,2.531,1.135342,5.233287,1.10011,0.157194,,4.178692,0.000017,1,,,0.894847,0.8677,0.8707
1976/12/10,,1.234324,0.964878,0.906917,,1.024216,2.451581,,,36.15,1.224988,5.862964,0.410319,0.640618,0.75975,0.598281,,41.3,0.75966,8.77,0.446783,294.920635,484,8.929,0.0203,2.5323,1.134331,5.229027,1.101807,0.157044,,4.175766,0.000017,1,,,0.894254,0.8671,0.8696
1976/12/13,,1.23569,0.952653,0.907289,,1.02263,2.453083,,,36.18,1.225092,5.864437,0.410163,0.641215,0.760892,0.594638,,41.3,0.755034,8.77,0.446865,294.034266,484,8.929,0.02018,2.5323,1.133289,5.22483,1.10011,0.156703,,4.170464,0.000017,1,,,0.893743,0.8664,0.8696
1976/12/14,,1.235173,0.95057,0.90754,,1.020629,2.456062,,,36.2,1.225992,5.863242,0.410658,0.640193,0.761155,0.593116,,41.3,0.753102,8.77,0.447198,295.361267,484,8.929,0.02028,2.5297,1.133445,5.235244,1.093494,0.157084,,4.175655,0.000017,1,,,0.893783,0.8663,0.8696
1976/12/15,,1.235028,0.952835,0.906172,,1.014854,2.45467,,,36.2,1.224468,5.855818,0.4105,0.639096,0.760683,0.594051,,41.3,0.754289,8.77,0.446842,294.441566,484,8.929,0.0202,2.5259,1.132473,5.227366,1.096251,0.157186,,4.169129,0.000017,1,,,0.893208,0.8661,0.8696
1976/12/16,,1.234894,0.952835,0.904809,,1.018273,2.454108,,,36.22,1.223827,5.85874,0.411072,0.640999,0.761826,0.601564,,41.3,0.763829,8.77,0.447467,295.30653,484,8.929,0.0202,2.5202,1.13077,5.227721,1.098901,0.157629,,4.164285,0.000017,1,,,0.894847,0.8663,0.8696
1976/12/17,,1.230738,0.946074,0.904071,,1.014468,2.450124,,,36.22,1.220346,5.833824,0.41043,0.638609,0.761204,0.598116,,41.3,0.75945,8.81,0.446123,294.351024,484,8.929,0.02008,2.5202,1.12927,5.21374,1.091703,0.156956,,4.158509,0.000017,1,,,0.892554,0.8657,0.8696
1976/12/20,,1.22404,0.944198,0.898735,,1.012,2.448415,,,36.26,1.213145,5.803569,0.41066,0.637828,0.760093,0.597033,,41.3,0.758076,8.81,0.447411,293.145993,484,8.929,0.02013,2.5183,1.122987,5.197828,1.072156,0.15657,,4.14578,0.000017,1,,,0.889553,0.8637,0.8696
1976/12/21,,1.216671,0.939496,0.893531,,1.009094,2.427758,,,36.28,1.20667,5.767193,0.409904,0.634134,0.759479,0.59343,,41.3,0.753501,8.81,0.44615,292.928998,484,8.929,0.02007,2.5183,1.114656,5.1548,1.066325,0.156001,,4.124134,0.000017,1,,,0.885536,0.8618,0.8696
